Tipo de actividad,Fecha,Favorito,Título,Distancia,Calorías,Hora,Frecuencia cardiaca media,Frecuencia cardiaca máxima,Cadencia de carrera media,Cadencia de carrera máxima,Ritmo medio,Ritmo óptimo,Ganancia de altura,Altura perdida,Longitud media de zancada
trail_running,2018-03-20 13:28:59,false,Jata,16.36,1058,01:41:09,147,175,166,182,6:11,4:13,648,645,0.97
trail_running,2018-03-17 14:09:50,false,Zumetxagas 10k,10.55,741,00:57:43,155,176,168,190,5:28,3:40,326,325,1.09
trail_running,2018-03-14 15:31:29,false,10k Zumetxagas,10.44,665,00:54:54,151,167,170,184,5:15,3:29,311,309,1.12
trail_running,2018-03-13 16:43:43,false,10k zumetxagas,10.32,729,01:00:14,150,173,164,188,5:50,3:28,322,318,1.05
trail_running,2018-03-09 16:58:47,false,Zumetxagas,10.38,693,01:03:41,145,175,164,188,6:08,4:08,329,327,0.99
trail_running,2018-03-07 18:24:27,false,Zuemtxagas,9.78,709,00:59:22,149,165,162,190,6:04,3:25,318,314,1.02
trail_running,2018-03-04 13:42:10,false,Sollube y Bakio,28.35,1665,03:02:57,147,179,162,208,6:27,3:39,1105,1103,0.96
trail_running,2018-02-28 19:31:18,false,Zumetxagas,8.33,525,00:57:01,135,161,164,178,6:51,4:48,259,258,0.89
trail_running,2018-02-27 19:35:31,false,Zumetxagas,10.51,621,01:04:34,140,167,164,182,6:09,4:07,318,315,0.99
trail_running,2018-02-23 13:17:02,false,Bakio Jata,21.97,1270,02:22:38,145,181,164,188,6:30,3:52,912,911,0.94
trail_running,2018-02-22 16:45:01,false,Zumetxagas,10.49,726,00:59:06,154,179,166,184,5:38,3:24,318,316,1.07
trail_running,2018-02-20 14:04:10,false,Sollube,18.27,1080,01:58:38,151,174,164,202,6:30,3:22,742,739,0.94
trail_running,2018-02-18 13:16:53,false,Maruri,12.69,872,01:22:24,148,175,162,182,6:30,4:14,392,395,0.95
trail_running,2018-02-17 11:44:00,false,Jata 2climbs,28.17,1849,03:04:40,149,175,162,220,6:33,1:31,1199,1205,0.94
trail_running,2018-02-13 17:01:49,false,Zumetxagas,10.37,843,01:00:58,167,189,166,188,5:53,3:38,318,317,1.02
trail_running,2018-02-11 12:41:01,false,Jata,17.8,1230,02:00:19,150,178,158,246,6:46,2:07,749,747,0.94
treadmill_running,2018-02-09 16:53:23,false,Prueba de esfuerzo,5.29,409,00:45:03,130,172,166,198,8:31,3:26,--,--,0.71
trail_running,2018-02-08 16:12:47,false,Zumetxagas,8.16,549,00:42:37,157,174,172,184,5:13,3:31,252,252,1.11
trail_running,2018-02-07 15:58:00,false,Zumetxagas,10.49,713,00:55:37,161,182,170,188,5:18,3:01,315,313,1.11
trail_running,2018-02-03 11:06:47,false,Jata,16.06,1221,01:41:51,163,194,160,190,6:21,4:00,700,696,0.99
street_running,2018-01-31 20:20:34,true,Power Run,10.3,616,00:46:52,162,188,180,194,4:33,3:24,251,251,1.22
trail_running,2018-01-30 13:11:39,false,Zumetxagas,10.41,794,01:00:31,160,179,164,182,5:49,1:20,324,320,1.05
trail_running,2018-01-27 12:52:19,false,Jata,17.44,1521,01:49:24,168,197,160,192,6:16,3:38,736,734,1
trail_running,2018-01-25 15:15:57,false,Zumetxagas,10.55,725,00:58:11,155,189,168,190,5:31,3:27,325,325,1.08
street_running,2018-01-23 19:26:49,false,Power Run,10.06,575,00:47:46,158,188,174,186,4:45,3:31,232,235,1.21
trail_running,2018-01-20 11:59:00,false,Jata,17.46,1203,01:53:14,151,183,162,246,6:29,3:46,731,729,0.95
trail_running,2018-01-17 13:51:55,false,GoBasquing etxera,34.89,2595,03:37:37,158,177,164,242,6:14,4:08,843,827,0.98
trail_running,2018-01-14 19:31:04,false,Zumetxagas,8.21,542,00:49:16,143,167,164,180,6:00,1:13,262,258,1.02
trail_running,2018-01-12 15:58:06,false,Sollube,24.08,1996,02:36:06,166,189,162,184,6:29,1:11,985,987,0.95
trail_running,2018-01-11 17:22:22,false,Zumetxagas,10.61,735,01:01:04,155,178,164,178,5:45,3:46,326,325,1.06
street_running,2018-01-07 08:00:16,false,Trobika Carrera,10.35,753,01:00:02,156,187,168,176,5:48,4:34,253,252,1.03
trail_running,2018-01-06 11:51:49,false,Zumetxagas  larrauri,12.33,754,01:11:59,150,169,164,180,5:50,4:02,353,351,1.04
trail_running,2018-01-03 15:23:30,false,Jata,16.18,1477,01:46:43,171,198,158,226,6:36,4:18,699,695,0.96
